H00024 NP_003318.1 TNR4_HUMAN
H00386 NP_000862.1 5HT6R_HUMAN
H00388 NP_061935.1 RN186_HUMAN
H00391 NP_000291.1 PA2GA_HUMAN
H00392 NP_001155199.1 PA2GA_HUMAN
H00393 NP_001155200.1 PA2GA_HUMAN
H00394 NP_001155201.1 PA2GA_HUMAN
H00396 NP_036532.1 PA2GD_HUMAN
H00405 NP_115785.1 PINK1_HUMAN
H00413 NP_001106819.1 ECE1_HUMAN
H00414 NP_001388.1 ECE1_HUMAN
H00415 NP_001106820.1 ECE1_HUMAN
H00416 NP_001106818.1 ECE1_HUMAN
H00418 NP_000469.3 PPBT_HUMAN
H00419 NP_001170991.1 PPBT_HUMAN
H00420 NP_001120973.2 PPBT_HUMAN
H00427 NP_005520.4 PGBM_HUMAN
H00430 NP_001034891.1 CDC42_HUMAN
H00431 NP_001782.1 CDC42_HUMAN
H00432 NP_426359.1 CDC42_HUMAN
H00433 NP_110388.2 WNT4_HUMAN
H00434 NP_055685.3 ZBT40_HUMAN
H00435 NP_001077090.1 ZBT40_HUMAN
H00438 NP_057075.1 C1QA_HUMAN
H00442 NP_059145.2 EPHB2_HUMAN
H00443 NP_004433.2 EPHB2_HUMAN
H00462 NP_000966.2 RL11_HUMAN
H00466 NP_001121093.1 GALE_HUMAN
H00467 NP_001008217.1 GALE_HUMAN
H00468 NP_000394.2 GALE_HUMAN
H00471 NP_000138.2 FUCO_HUMAN
H00472 NP_001832.1 CNR2_HUMAN
H00495 NP_001026850.1 RUNX3_HUMAN
H00496 NP_004341.1 RUNX3_HUMAN
H00497 NP_056299.1 SYF2_HUMAN
H00498 NP_997053.1 SYF2_HUMAN
H00500 NP_057208.2 RHD_HUMAN
H00501 NP_001121163.1 RHD_HUMAN
H00508 NP_056442.2 ARH_HUMAN
H00510 NP_065184.2 SELN_HUMAN
H00511 NP_996809.1 SELN_HUMAN
H00542 NP_995583.1 DHDDS_HUMAN
H00543 NP_079163.2 DHDDS_HUMAN
H00554 NP_068804.1 NR0B2_HUMAN
H00595 NP_001158193.1 PTAFR_HUMAN
H00596 NP_000943.1 PTAFR_HUMAN
H00597 NP_001158194.1 PTAFR_HUMAN
H00598 NP_001158195.1 PTAFR_HUMAN
H00622 NP_000902.3 OPRD_HUMAN
H00623 NP_001159477.1 41_HUMAN
H00625 NP_001159478.1 41_HUMAN
H00626 NP_976217.1 41_HUMAN
H00628 NP_004428.1 41_HUMAN
H00639 NP_002370.1 MATN1_HUMAN
H00641 NP_055469.3 SDC3_HUMAN
H00670 NP_005347.3 LCK_HUMAN
H00671 NP_001036236.1 LCK_HUMAN
H00689 NP_003671.1 SYYC_HUMAN
H00700 NP_037543.1 KAD2_HUMAN
H00701 NP_001616.1 KAD2_HUMAN
H00714 NP_076872.1 CXB3_HUMAN
H00715 NP_001005752.1 CXB3_HUMAN
H00716 NP_002051.2 CXA4_HUMAN
H00724 NP_005057.1 SFPQ_HUMAN
H00741 NP_005193.1 CO8A2_HUMAN
H00756 NP_000822.2 GRIK3_HUMAN
H00812 NP_000301.1 PPT1_HUMAN
H00813 NP_001136076.1 PPT1_HUMAN
H00817 NP_001843.1 CO9A2_HUMAN
H00860 NP_071751.3 P3H1_HUMAN
H00861 NP_001139761.1 P3H1_HUMAN
H00870 NP_006507.2 GTR1_HUMAN
H00882 NP_005364.1 TPOR_HUMAN
H00891 NP_569707.2 PTPRF_HUMAN
H00892 NP_002831.2 PTPRF_HUMAN
H00894 NP_006270.1 SIAT6_HUMAN
H00895 NP_777624.1 SIAT6_HUMAN
H00896 NP_777626.1 SIAT6_HUMAN
H00897 NP_777629.1 SIAT6_HUMAN
H00898 NP_777628.2 SIAT6_HUMAN
H00899 NP_777631.2 SIAT6_HUMAN
H00900 NP_777623.2 SIAT6_HUMAN
H00901 NP_777625.1 SIAT6_HUMAN
H00902 NP_777627.1 SIAT6_HUMAN
H00903 NP_777630.1 SIAT6_HUMAN
H00933 NP_001159764.1 PTC2_HUMAN
H00934 NP_003729.3 PTC2_HUMAN
H00935 NP_065098.1 EI2BG_HUMAN
H00936 NP_001160060.1 EI2BG_HUMAN
H00939 NP_000365.3 DCUP_HUMAN
H00942 NP_036354.1 MUTYH_HUMAN
H00943 NP_001041636.1 MUTYH_HUMAN
H00944 NP_001121897.1 MUTYH_HUMAN
H00945 NP_001041637.1 MUTYH_HUMAN
H00946 NP_001041638.1 MUTYH_HUMAN
H00947 NP_001041639.1 MUTYH_HUMAN
H00969 NP_060209.3 PMGT1_HUMAN
H00976 NP_001432.2 FAAH1_HUMAN
H00993 NP_000769.2 CP4AB_HUMAN
H00998 NP_003180.1 TAL1_HUMAN
H00999 NP_003026.2 STIL_HUMAN
H01000 NP_001041631.1 STIL_HUMAN
H01024 NP_001972.1 EPS15_HUMAN
H01025 NP_001153441.1 EPS15_HUMAN
H01066 NP_000089.1 CPT2_HUMAN
H01069 NP_059992.3 LRP8_HUMAN
H01070 NP_004622.2 LRP8_HUMAN
H01071 NP_001018064.1 LRP8_HUMAN
H01072 NP_150643.2 LRP8_HUMAN
H01105 NP_476517.1 BSND_HUMAN
H01106 NP_777596.2 PCSK9_HUMAN
H01108 NP_003704.3 LPP3_HUMAN
H01109 NP_006243.2 AAPK2_HUMAN
H01121 NP_000766.2 CP2J2_HUMAN
H01136 NP_055310.1 ANGL3_HUMAN
H01144 NP_002624.2 PGM1_HUMAN
H01145 NP_001166289.1 PGM1_HUMAN
H01146 NP_001166290.1 PGM1_HUMAN
H01159 NP_002294.2 LEPR_HUMAN
H01160 NP_001003679.1 LEPR_HUMAN
H01161 NP_001003680.1 LEPR_HUMAN
H01162 NP_002591.2 PDE4B_HUMAN
H01163 NP_001032418.1 PDE4B_HUMAN
H01164 NP_001032417.1 PDE4B_HUMAN
H01165 NP_001032416.1 PDE4B_HUMAN
H01183 NP_653302.2 IL23R_HUMAN
H01184 NP_001550.1 I12R2_HUMAN
H01196 NP_000320.1 RPE65_HUMAN
H01210 NP_942009.1 PE2R3_HUMAN
H01211 NP_942010.1 PE2R3_HUMAN
H01212 NP_942011.1 PE2R3_HUMAN
H01213 NP_001119516.1 PE2R3_HUMAN
H01214 NP_942007.1 PE2R3_HUMAN
H01215 NP_942012.1 PE2R3_HUMAN
H01216 NP_942008.1 PE2R3_HUMAN
H01234 NP_000007.1 ACADM_HUMAN
H01235 NP_001120800.1 ACADM_HUMAN
H01252 NP_653174.3 NEXN_HUMAN
H01253 NP_001165780.1 NEXN_HUMAN
H01287 NP_003912.1 BCL10_HUMAN
H01289 NP_036269.1 DDAH1_HUMAN
H01290 NP_001127917.1 DDAH1_HUMAN
H01300 NP_001276.2 CLCA1_HUMAN
H01337 NP_003234.2 TGBR3_HUMAN
H01344 NP_444504.1 GLMN_HUMAN
H01350 NP_000960.2 RL5_HUMAN
H01365 NP_002052.1 GSH0_HUMAN
H01366 NP_000341.2 ABCA4_HUMAN
H01370 NP_001984.1 TF_HUMAN
H01371 NP_001171567.1 TF_HUMAN
H01372 NP_001107578.1 CTL3_HUMAN
H01373 NP_689582.2 CTL3_HUMAN
H01380 NP_000101.2 DPYD_HUMAN
H01381 NP_001153773.1 DPYD_HUMAN
H01390 NP_000019.2 GDE_HUMAN
H01391 NP_000634.2 GDE_HUMAN
H01392 NP_000635.2 GDE_HUMAN
H01393 NP_000633.2 GDE_HUMAN
H01394 NP_000637.2 GDE_HUMAN
H01395 NP_000636.2 GDE_HUMAN
H01408 NP_001069.1 VCAM1_HUMAN
H01409 NP_542413.1 VCAM1_HUMAN
H01412 NP_598003.2 ZNT7_HUMAN
H01413 NP_001138356.1 ZNT7_HUMAN
H01430 NP_060607.2 ANM6_HUMAN
H01431 NP_001106697.1 NTNG1_HUMAN
H01432 NP_001106699.1 NTNG1_HUMAN
H01433 NP_055732.2 NTNG1_HUMAN
H01460 NP_001399.1 CELR2_HUMAN
H01461 NP_001005290.1 PSRC1_HUMAN
H01462 NP_001027462.1 PSRC1_HUMAN
H01463 NP_116025.1 PSRC1_HUMAN
H01481 NP_671489.1 GSTM4_HUMAN
H01482 NP_000841.1 GSTM4_HUMAN
H01489 NP_000840.2 GSTM3_HUMAN
H01490 NP_078802.2 ES8L3_HUMAN
H01491 NP_573444.2 ES8L3_HUMAN
H01492 NP_620641.1 ES8L3_HUMAN
H01493 NP_000748.3 CSF1_HUMAN
H01494 NP_757349.1 CSF1_HUMAN
H01495 NP_757350.1 CSF1_HUMAN
H01496 NP_757351.1 CSF1_HUMAN
H01506 NP_073605.4 RBM15_HUMAN
H01512 NP_002223.3 KCNA3_HUMAN
H01564 NP_060834.2 RSBN1_HUMAN
H01565 NP_057051.3 PTN22_HUMAN
H01566 NP_036543.4 PTN22_HUMAN
H01567 NP_001180360.1 PTN22_HUMAN
H01577 NP_056990.3 TRI33_HUMAN
H01578 NP_148980.2 TRI33_HUMAN
H01581 NP_001166097.1 AMPD1_HUMAN
H01582 NP_000027.2 AMPD1_HUMAN
H01590 NP_000540.2 TSHB_HUMAN
H01594 NP_001165882.1 VANG1_HUMAN
H01595 NP_001165883.1 VANG1_HUMAN
H01596 NP_620409.1 VANG1_HUMAN
H01602 NP_000692.2 AT1A1_HUMAN
H01603 NP_001153705.1 AT1A1_HUMAN
H01604 NP_001153706.1 AT1A1_HUMAN
H01605 NP_001770.1 LFA3_HUMAN
H01606 NP_001138294.1 LFA3_HUMAN
H01612 NP_003585.3 TTF2_HUMAN
H01627 NP_000189.1 3BHS2_HUMAN
H01628 NP_001159592.1 3BHS2_HUMAN
H01640 NP_077719.2 NOTC2_HUMAN
H01655 NP_071754.3 MYOME_HUMAN
H01656 NP_001002810.1 MYOME_HUMAN
H01664 NP_006463.3 TXNIP_HUMAN
H01720 NP_005257.2 CXA5_HUMAN
H01721 NP_859054.1 CXA5_HUMAN
H01722 NP_005258.2 CXA8_HUMAN
H01770 NP_004689.1 PRPF3_HUMAN
H01773 NP_004416.2 ECM1_HUMAN
H01774 NP_073155.2 ECM1_HUMAN
H01775 NP_061905.2 ATL4_HUMAN
H01776 NP_079284.2 ATL4_HUMAN
H01790 NP_000387.1 CATK_HUMAN
H01795 NP_071358.1 CERS2_HUMAN
H01796 NP_859530.1 CERS2_HUMAN
H01797 NP_003559.2 ANXA9_HUMAN
H01827 NP_000440.1 RFX5_HUMAN
H01828 NP_001020774.1 RFX5_HUMAN
H01865 NP_002007.1 FILA_HUMAN
H01866 NP_001014364.1 FILA2_HUMAN
H01870 NP_848522.1 LCE3E_HUMAN
H01903 NP_000418.2 LORI_HUMAN
H01929 NP_000897.3 ANPRA_HUMAN
H01943 NP_705935.1 TPM3_HUMAN
H01944 NP_001036816.1 TPM3_HUMAN
H01945 NP_001036817.1 TPM3_HUMAN
H01946 NP_001036818.1 TPM3_HUMAN
H01947 NP_689476.2 TPM3_HUMAN
H01965 NP_000739.1 ACHB2_HUMAN
H01971 NP_002240.3 KCNN3_HUMAN
H01972 NP_740752.1 KCNN3_HUMAN
H02009 NP_001037855.1 MUC1_HUMAN
H02010 NP_001037856.1 MUC1_HUMAN
H02011 NP_001037857.1 MUC1_HUMAN
H02012 NP_002447.4 MUC1_HUMAN
H02013 NP_001018016.1 MUC1_HUMAN
H02014 NP_001018017.1 MUC1_HUMAN
H02015 NP_001037858.1 MUC1_HUMAN
H02019 NP_001005742.1 GLCM_HUMAN
H02020 NP_001005741.1 GLCM_HUMAN
H02021 NP_000148.2 GLCM_HUMAN
H02026 NP_005689.2 SCAM3_HUMAN
H02027 NP_443069.1 SCAM3_HUMAN
H02030 NP_000289.1 KPYR_HUMAN
H02031 NP_870986.1 KPYR_HUMAN
H02044 NP_387506.1 RT29_HUMAN
H02045 NP_004623.1 RT29_HUMAN
H02057 NP_054736.1 LTOR2_HUMAN
H02058 NP_001138736.1 LTOR2_HUMAN
H02059 NP_065120.2 RAB25_HUMAN
H02061 NP_733821.1 LMNA_HUMAN
H02062 NP_733822.1 LMNA_HUMAN
H02063 NP_005563.1 LMNA_HUMAN
H02064 NP_071762.2 SEM4A_HUMAN
H02065 NP_001180229.1 SEM4A_HUMAN
H02066 NP_001180230.1 SEM4A_HUMAN
H02067 NP_001180231.1 SEM4A_HUMAN
H02070 NP_954642.1 OSTCN_HUMAN
H02092 NP_001869.1 RABP2_HUMAN
H02101 NP_005964.3 PRCC_HUMAN
H02102 NP_003966.2 SH22A_HUMAN
H02104 NP_001154916.1 SH22A_HUMAN
H02105 NP_001154914.1 SH22A_HUMAN
H02113 NP_055599.1 ARHGB_HUMAN
H02114 NP_937879.1 ARHGB_HUMAN
H02120 NP_443171.2 FCRL3_HUMAN
H02152 NP_003117.2 SPTA1_HUMAN
H02170 NP_001992.1 FCERA_HUMAN
H02175 NP_000558.2 CRP_HUMAN
H02189 NP_002232.2 IRK10_HUMAN
H02192 NP_000693.1 AT1A2_HUMAN
H02195 NP_001222.3 CASQ1_HUMAN
H02199 NP_002848.1 PEX19_HUMAN
H02200 NP_001180573.1 PEX19_HUMAN
H02203 NP_056146.1 NICA_HUMAN
H02222 NP_060095.2 ITLN1_HUMAN
H02228 NP_009053.1 USF1_HUMAN
H02229 NP_996888.1 USF1_HUMAN
H02246 NP_000300.1 PPOX_HUMAN
H02247 NP_001116236.1 PPOX_HUMAN
H02253 NP_001634.1 APOA2_HUMAN
H02271 NP_000521.2 MYP0_HUMAN
H02272 NP_001030588.1 C560_HUMAN
H02273 NP_002992.1 C560_HUMAN
H02274 NP_001030589.1 C560_HUMAN
H02275 NP_001030590.1 C560_HUMAN
H02277 NP_067674.2 FCG2A_HUMAN
H02278 NP_001129691.1 FCG2A_HUMAN
H02286 NP_000561.3 FCG3B_HUMAN
H02287 NP_003992.3 FCG2B_HUMAN
H02288 NP_001002273.1 FCG2B_HUMAN
H02289 NP_001002274.1 FCG2B_HUMAN
H02290 NP_001002275.1 FCG2B_HUMAN
H02291 NP_001177757.1 FCG2B_HUMAN
H02300 NP_009171.1 DUS12_HUMAN
H02301 NP_031374.2 ATF6A_HUMAN
H02303 NP_055512.1 CAPON_HUMAN
H02304 NP_001158229.1 CAPON_HUMAN
H02305 NP_001119532.2 CAPON_HUMAN
H02319 NP_001095915.1 RGS4_HUMAN
H02320 NP_005604.1 RGS4_HUMAN
H02321 NP_001106852.1 RGS4_HUMAN
H02322 NP_001106851.1 RGS4_HUMAN
H02326 NP_002576.1 PBX1_HUMAN
H02329 NP_008848.1 RXRG_HUMAN
H02343 NP_932170.1 CD3Z_HUMAN
H02344 NP_000725.1 CD3Z_HUMAN
H02347 NP_003944.1 MPZL1_HUMAN
H02348 NP_001139663.1 MPZL1_HUMAN
H02349 NP_078845.3 MPZL1_HUMAN
H02370 NP_000121.2 FA5_HUMAN
H02371 NP_002996.2 LYAM3_HUMAN
H02372 NP_000646.2 LYAM1_HUMAN
H02373 NP_000441.2 LYAM2_HUMAN
H02378 NP_055785.2 KIFA3_HUMAN
H02393 NP_000252.1 MYOC_HUMAN
H02406 NP_000630.1 TNFL6_HUMAN
H02407 NP_005083.2 TNF18_HUMAN
H02408 NP_003317.1 TNFL4_HUMAN
H02419 NP_000479.1 ANT3_HUMAN
H02448 NP_689876.2 RGPS2_HUMAN
H02460 NP_003092.4 SOAT1_HUMAN
H02462 NP_055440.1 PODO_HUMAN
H02472 NP_203129.1 LHX4_HUMAN
H02473 NP_115736.1 ACBD6_HUMAN
H02477 NP_005810.1 STX6_HUMAN
H02490 NP_066956.1 RN5A_HUMAN
H02492 NP_203131.1 RGS8_HUMAN
H02493 NP_001095920.1 RGS8_HUMAN
H02494 NP_110396.1 NPL_HUMAN
H02498 NP_005553.2 LAMC2_HUMAN
H02499 NP_061486.2 LAMC2_HUMAN
H02506 NP_000424.2 NCF2_HUMAN
H02507 NP_001121123.1 NCF2_HUMAN
H02508 NP_001177718.1 NCF2_HUMAN
H02509 NP_001177723.1 NCF2_HUMAN
H02529 NP_003283.2 TPR_HUMAN
H02536 NP_000954.1 PGH2_HUMAN
H02537 NP_077734.1 PA24A_HUMAN
H02538 NP_950252.1 BRNP3_HUMAN
H02539 NP_570138.1 RGS18_HUMAN
H02541 NP_002913.3 RGS1_HUMAN
H02544 NP_002914.1 RGS2_HUMAN
H02553 NP_078805.3 CDC73_HUMAN
H02556 NP_000177.2 CFAH_HUMAN
H02558 NP_066303.2 FHR3_HUMAN
H02559 NP_001160096.1 FHR3_HUMAN
H02560 NP_002104.2 FHR1_HUMAN
H02561 NP_006675.2 FHR4_HUMAN
H02563 NP_110414.1 FHR5_HUMAN
H02564 NP_001985.2 F13B_HUMAN
H02565 NP_060606.3 ASPM_HUMAN
H02567 NP_957705.1 CRUM1_HUMAN
H02568 NP_001180569.1 CRUM1_HUMAN
H02579 NP_003813.1 NR5A2_HUMAN
H02580 NP_995582.1 NR5A2_HUMAN
H02586 NP_982284.1 CAMP2_HUMAN
H02589 NP_001136041.1 CA106_HUMAN
H02591 NP_000060.2 CAC1S_HUMAN
H02595 NP_001005337.1 PKP1_HUMAN
H02596 NP_000290.2 PKP1_HUMAN
H02597 NP_000355.2 TNNT2_HUMAN
H02598 NP_001001430.1 TNNT2_HUMAN
H02599 NP_001001431.1 TNNT2_HUMAN
H02600 NP_001001432.1 TNNT2_HUMAN
H02616 NP_001107781.1 ELF3_HUMAN
H02617 NP_004424.3 ELF3_HUMAN
H02618 NP_004758.3 ETBR2_HUMAN
H02637 NP_057083.2 ADR1_HUMAN
H02648 NP_001267.2 CH3L1_HUMAN
H02649 NP_003456.1 CHIT1_HUMAN
H02654 NP_055174.1 OPT_HUMAN
H02699 NP_003920.1 RAB7L_HUMAN
H02700 NP_001129134.1 RAB7L_HUMAN
H02701 NP_001129135.1 RAB7L_HUMAN
H02702 NP_001129136.1 RAB7L_HUMAN
H02709 NP_000698.1 V1BR_HUMAN
H02727 NP_000563.1 IL10_HUMAN
H02728 NP_715639.1 IL19_HUMAN
H02729 NP_037503.2 IL19_HUMAN
H02730 NP_061194.2 IL20_HUMAN
H02731 NP_001172085.1 IL24_HUMAN
H02732 NP_006841.1 IL24_HUMAN
H02733 NP_001172086.1 IL24_HUMAN
H02734 NP_001172087.1 IL24_HUMAN
H02738 NP_002635.2 PIGR_HUMAN
H02756 NP_001006659.1 CR2_HUMAN
H02757 NP_001868.2 CR2_HUMAN
H02758 NP_000564.2 CR1_HUMAN
H02759 NP_000642.3 CR1_HUMAN
H02761 NP_758860.1 MCP_HUMAN
H02762 NP_758869.1 MCP_HUMAN
H02763 NP_722548.1 MCP_HUMAN
H02764 NP_758863.1 MCP_HUMAN
H02765 NP_758871.1 MCP_HUMAN
H02766 NP_002380.3 MCP_HUMAN
H02767 NP_758861.1 MCP_HUMAN
H02768 NP_758862.1 MCP_HUMAN
H02771 NP_079455.3 PLXA2_HUMAN
H02773 NP_065172.1 KCC1G_HUMAN
H02774 NP_001121113.1 LAMB3_HUMAN
H02775 NP_000219.2 LAMB3_HUMAN
H02776 NP_001017402.1 LAMB3_HUMAN
H02778 NP_005516.1 DHI1_HUMAN
H02779 NP_861420.1 DHI1_HUMAN
H02782 NP_006138.1 IRF6_HUMAN
H02783 NP_055203.4 DIEXF_HUMAN
H02786 NP_694994.2 SYT14_HUMAN
H02787 NP_001139734.1 SYT14_HUMAN
H02802 NP_001029082.1 TRAF5_HUMAN
H02803 NP_004610.1 TRAF5_HUMAN
H02804 NP_665702.1 TRAF5_HUMAN
H02805 NP_898882.1 RD3_HUMAN
H02806 NP_001158160.1 RD3_HUMAN
H02835 NP_002754.2 PROX1_HUMAN
H02837 NP_005392.2 PTN14_HUMAN
H02843 NP_996816.2 USH2A_HUMAN
H02844 NP_009054.5 USH2A_HUMAN
H02866 NP_009138.1 DUS10_HUMAN
H02867 NP_653329.1 DUS10_HUMAN
H02868 NP_653330.1 DUS10_HUMAN
H02872 NP_940953.2 MIA3_HUMAN
H02877 NP_003259.2 TLR5_HUMAN
H02884 NP_001026855.2 ASPP2_HUMAN
H02885 NP_005417.1 ASPP2_HUMAN
H02900 NP_002287.2 LBR_HUMAN
H02901 NP_919424.1 LBR_HUMAN
H02906 NP_001129490.1 HYEP_HUMAN
H02907 NP_000111.1 HYEP_HUMAN
H02918 NP_001609.2 PARP1_HUMAN
H02921 NP_000438.2 PSN2_HUMAN
H02922 NP_036618.2 PSN2_HUMAN
H02923 NP_064632.2 ADCK3_HUMAN
H02952 NP_065168.2 CXG2_HUMAN
H02965 NP_067028.1 RHOU_HUMAN
H02969 NP_001091.1 ACTS_HUMAN
H02972 NP_055224.1 TAF5L_HUMAN
H02973 NP_001020418.1 TAF5L_HUMAN
H02979 NP_000020.1 ANGT_HUMAN
H02991 NP_055051.1 GNPAT_HUMAN
H02995 NP_071334.1 EGLN1_HUMAN
H02996 NP_005990.1 TSNAX_HUMAN
H02999 NP_061132.2 DISC1_HUMAN
H03000 NP_001012975.1 DISC1_HUMAN
H03002 NP_001158013.1 DISC1_HUMAN
H03004 NP_001158018.1 DISC1_HUMAN
H03005 NP_001158019.1 DISC1_HUMAN
H03006 NP_001012977.1 DISC1_HUMAN
H03007 NP_001158011.1 DISC1_HUMAN
H03008 NP_001158016.1 DISC1_HUMAN
H03009 NP_001158017.1 DISC1_HUMAN
H03010 NP_001158028.1 DISC1_HUMAN
H03014 NP_001158027.1 DISC1_HUMAN
H03015 NP_001012976.1 DISC1_HUMAN
H03044 NP_000072.2 LYST_HUMAN
H03048 NP_665860.2 EDAD_HUMAN
H03049 NP_542776.1 EDAD_HUMAN
H03055 NP_001094.1 ACTN2_HUMAN
H03057 NP_000245.2 METH_HUMAN
H03058 NP_001026.2 RYR2_HUMAN
H03059 NP_067009.1 ZP4_HUMAN
H03061 NP_000731.1 ACM3_HUMAN
H03065 NP_000134.2 FUMH_HUMAN
H03111 NP_899632.1 NALP3_HUMAN
H03112 NP_004886.3 NALP3_HUMAN
H03113 NP_001120934.1 NALP3_HUMAN
H03114 NP_001120933.1 NALP3_HUMAN
H03115 NP_001073289.1 NALP3_HUMAN
H03182 NP_009030.1 PPAC_HUMAN
H03183 NP_004291.1 PPAC_HUMAN
H03188 NP_783653.1 PERT_HUMAN
H03189 NP_783652.1 PERT_HUMAN
H03190 NP_783650.1 PERT_HUMAN
H03191 NP_000538.3 PERT_HUMAN
H03199 NP_001002.1 RS7_HUMAN
H03221 NP_003588.1 KLF11_HUMAN
H03222 NP_001171187.1 KLF11_HUMAN
H03223 NP_001171189.1 KLF11_HUMAN
H03230 NP_002530.1 DCOR_HUMAN
H03246 NP_067675.1 TRIB2_HUMAN
H03259 NP_002243.3 KCNS3_HUMAN
H03265 NP_001006658.1 WDR35_HUMAN
H03266 NP_065830.2 WDR35_HUMAN
H03267 NP_002372.1 MATN3_HUMAN
H03276 NP_000375.2 APOB_HUMAN
H03296 NP_003734.3 NCOA1_HUMAN
H03297 NP_671766.1 NCOA1_HUMAN
H03298 NP_671756.1 NCOA1_HUMAN
H03304 NP_001030333.1 COLI_HUMAN
H03305 NP_000930.1 COLI_HUMAN
H03306 NP_072046.2 DNM3A_HUMAN
H03307 NP_783328.1 DNM3A_HUMAN
H03308 NP_715640.2 DNM3A_HUMAN
H03309 NP_783329.1 DNM3A_HUMAN
H03320 NP_000173.2 ECHA_HUMAN
H03327 NP_919304.1 OTOF_HUMAN
H03328 NP_919224.1 OTOF_HUMAN
H03329 NP_919303.1 OTOF_HUMAN
H03330 NP_004793.2 OTOF_HUMAN
H03368 NP_056451.3 EI2BD_HUMAN
H03369 NP_001029288.1 EI2BD_HUMAN
H03370 NP_751945.2 EI2BD_HUMAN
H03372 NP_653232.3 ZN513_HUMAN
H03379 NP_001477.2 GCKR_HUMAN
H03382 NP_001136155.1 CC121_HUMAN
H03383 NP_078860.2 CC121_HUMAN
H03384 NP_001138519.1 GPN1_HUMAN
H03385 NP_009197.2 GPN1_HUMAN
H03386 NP_001138521.1 GPN1_HUMAN
H03387 NP_001138520.1 GPN1_HUMAN
H03411 NP_004295.2 ALK_HUMAN
H03424 NP_000339.2 S5A2_HUMAN
H03428 NP_055761.2 SPAST_HUMAN
H03429 NP_955468.1 SPAST_HUMAN
H03444 NP_733772.1 GRP3_HUMAN
H03445 NP_001132960.1 GRP3_HUMAN
H03446 NP_056191.1 GRP3_HUMAN
H03459 NP_002750.1 E2AK2_HUMAN
H03460 NP_001129123.1 E2AK2_HUMAN
H03461 NP_001129124.1 E2AK2_HUMAN
H03467 NP_036545.1 QPCT_HUMAN
H03473 NP_000095.2 CP1B1_HUMAN
H03484 NP_005624.2 SOS1_HUMAN
H03490 NP_066920.1 NAC1_HUMAN
H03491 NP_001106271.1 NAC1_HUMAN
H03492 NP_001106272.1 NAC1_HUMAN
H03493 NP_001106273.1 NAC1_HUMAN
H03495 NP_061936.2 EMAL4_HUMAN
H03496 NP_001138548.1 EMAL4_HUMAN
H03503 NP_036337.2 3HAO_HUMAN
H03504 NP_008818.3 TISD_HUMAN
H03505 NP_071348.3 THADA_HUMAN
H03506 NP_001077422.1 THADA_HUMAN
H03512 NP_071881.1 ABCG5_HUMAN
H03513 NP_071882.1 ABCG8_HUMAN
H03514 NP_573566.2 LPPRC_HUMAN
H03520 NP_000332.2 SLC31_HUMAN
H03529 NP_005404.1 SIX3_HUMAN
H03531 NP_060549.4 SRBD1_HUMAN
H03533 NP_001421.2 EPAS1_HUMAN
H03542 NP_001164982.1 MCFD2_HUMAN
H03543 NP_644808.1 MCFD2_HUMAN
H03544 NP_001164977.1 MCFD2_HUMAN
H03545 NP_001164978.1 MCFD2_HUMAN
H03546 NP_001164979.1 MCFD2_HUMAN
